sepal.length,sepal.width,petal.length,petal.width,variety,event_time
5.9,3.2,4.8,1.8,Versicolor,29-01-2026 05:00
6.1,2.8,4,1.3,Versicolor,30-01-2026 05:00
6.3,2.5,4.9,1.5,Versicolor,22-01-2026 05:00
6.1,2.8,4.7,1.2,Versicolor,23-01-2026 05:00
6.4,2.9,4.3,1.3,Versicolor,24-01-2026 05:00
6.6,3,4.4,1.4,Versicolor,25-01-2026 05:00
6.8,2.8,4.8,1.4,Versicolor,26-01-2026 05:00
6.7,3,5,1.7,Versicolor,27-01-2026 05:00
6,2.9,4.5,1.5,Versicolor,28-01-2026 05:00
5.7,2.6,3.5,1,Versicolor,29-01-2026 05:00
5.5,2.4,3.8,1.1,Versicolor,30-01-2026 05:00
5.5,2.4,3.7,1,Versicolor,22-01-2026 05:00
5.8,2.7,3.9,1.2,Versicolor,23-01-2026 05:00
6,2.7,5.1,1.6,Versicolor,24-01-2026 05:00
5.4,3,4.5,1.5,Versicolor,25-01-2026 05:00
6,3.4,4.5,1.6,Versicolor,26-01-2026 05:00
6.7,3.1,4.7,1.5,Versicolor,27-01-2026 05:00
6.3,2.3,4.4,1.3,Versicolor,28-01-2026 05:00
5.6,3,4.1,1.3,Versicolor,29-01-2026 05:00
5.5,2.5,4,1.3,Versicolor,30-01-2026 05:00
5.5,2.6,4.4,1.2,Versicolor,22-01-2026 05:00
6.1,3,4.6,1.4,Versicolor,23-01-2026 05:00
5.8,2.6,4,1.2,Versicolor,24-01-2026 05:00
5,2.3,3.3,1,Versicolor,25-01-2026 05:00
5.6,2.7,4.2,1.3,Versicolor,26-01-2026 05:00
5.7,3,4.2,1.2,Versicolor,27-01-2026 05:00
5.7,2.9,4.2,1.3,Versicolor,28-01-2026 05:00
6.2,2.9,4.3,1.3,Versicolor,29-01-2026 05:00
5.1,2.5,3,1.1,Versicolor,30-01-2026 05:00
5.7,2.8,4.1,1.3,Versicolor,22-01-2026 05:00
6.3,3.3,6,2.5,Virginica,23-01-2026 05:00
5.8,2.7,5.1,1.9,Virginica,24-01-2026 05:00
7.1,3,5.9,2.1,Virginica,25-01-2026 05:00
6.3,2.9,5.6,1.8,Virginica,26-01-2026 05:00
6.5,3,5.8,2.2,Virginica,27-01-2026 05:00
7.6,3,6.6,2.1,Virginica,28-01-2026 05:00
4.9,2.5,4.5,1.7,Virginica,29-01-2026 05:00
7.3,2.9,6.3,1.8,Virginica,30-01-2026 05:00
6.7,2.5,5.8,1.8,Virginica,22-01-2026 05:00
7.2,3.6,6.1,2.5,Virginica,23-01-2026 05:00
6.5,3.2,5.1,2,Virginica,24-01-2026 05:00
6.4,2.7,5.3,1.9,Virginica,25-01-2026 05:00
6.8,3,5.5,2.1,Virginica,26-01-2026 05:00
5.7,2.5,5,2,Virginica,27-01-2026 05:00
5.8,2.8,5.1,2.4,Virginica,28-01-2026 05:00
6.4,3.2,5.3,2.3,Virginica,29-01-2026 05:00
6.5,3,5.5,1.8,Virginica,30-01-2026 05:00
7.7,3.8,6.7,2.2,Virginica,22-01-2026 05:00
7.7,2.6,6.9,2.3,Virginica,23-01-2026 05:00
6,2.2,5,1.5,Virginica,24-01-2026 05:00
6.9,3.2,5.7,2.3,Virginica,25-01-2026 05:00
5.6,2.8,4.9,2,Virginica,26-01-2026 05:00
7.7,2.8,6.7,2,Virginica,27-01-2026 05:00
6.3,2.7,4.9,1.8,Virginica,28-01-2026 05:00
6.7,3.3,5.7,2.1,Virginica,29-01-2026 05:00
7.2,3.2,6,1.8,Virginica,30-01-2026 05:00
6.2,2.8,4.8,1.8,Virginica,22-01-2026 05:00
6.1,3,4.9,1.8,Virginica,23-01-2026 05:00
6.4,2.8,5.6,2.1,Virginica,24-01-2026 05:00
7.2,3,5.8,1.6,Virginica,25-01-2026 05:00
7.4,2.8,6.1,1.9,Virginica,26-01-2026 05:00
7.9,3.8,6.4,2,Virginica,27-01-2026 05:00
6.4,2.8,5.6,2.2,Virginica,28-01-2026 05:00
6.3,2.8,5.1,1.5,Virginica,29-01-2026 05:00
6.1,2.6,5.6,1.4,Virginica,30-01-2026 05:00
7.7,3,6.1,2.3,Virginica,22-01-2026 05:00
6.3,3.4,5.6,2.4,Virginica,23-01-2026 05:00
6.4,3.1,5.5,1.8,Virginica,24-01-2026 05:00
6,3,4.8,1.8,Virginica,25-01-2026 05:00
6.9,3.1,5.4,2.1,Virginica,26-01-2026 05:00
6.7,3.1,5.6,2.4,Virginica,27-01-2026 05:00
6.9,3.1,5.1,2.3,Virginica,28-01-2026 05:00
5.8,2.7,5.1,1.9,Virginica,29-01-2026 05:00
6.8,3.2,5.9,2.3,Virginica,30-01-2026 05:00
6.7,3.3,5.7,2.5,Virginica,22-01-2026 05:00
6.7,3,5.2,2.3,Virginica,23-01-2026 05:00
6.3,2.5,5,1.9,Virginica,24-01-2026 05:00
6.5,3,5.2,2,Virginica,25-01-2026 05:00
6.2,3.4,5.4,2.3,Virginica,26-01-2026 05:00
5.9,3,5.1,1.8,Virginica,27-01-2026 05:00
,,,,,
,,,,,
,,,,,
